category,case_number
DRUG,CR-23-684148-A
DRUG,CR-23-684150-A
DRUG,CR-23-684167-A
DRUG,CR-23-684170-A
DRUG,CR-23-684177-A
DRUG,CR-23-684192-A
DRUG,CR-23-684193-A
DRUG,CR-23-684210-A
DRUG,CR-23-684211-A
DRUG,CR-23-684212-A
DRUG,CR-23-684215-A
DRUG,CR-23-684225-A
DRUG,CR-23-684233-A
DRUG,CR-23-684234-A
DRUG,CR-23-684238-A
DRUG,CR-23-684289-A
DRUG,CR-23-684294-A
DRUG,CR-23-684307-A
DRUG,CR-23-684312-A
DRUG,CR-23-684313-A
DRUG,CR-23-684344-A
DRUG,CR-23-684347-A
DRUG,CR-23-684348-A
DRUG,CR-23-684350-A
DRUG,CR-23-684351-A
DRUG,CR-23-684368-A
DRUG,CR-23-684371-A
DRUG,CR-23-684376-A
DRUG,CR-23-684378-A
DRUG,CR-23-684394-A
DRUG,CR-23-684402-A
DRUG,CR-23-684409-A
DRUG,CR-23-684421-A
DRUG,CR-23-684437-A
DRUG,CR-23-684465-A
DRUG,CR-23-684479-B
DRUG,CR-23-684503-A
DRUG,CR-23-684510-A
DRUG,CR-23-684517-A
DRUG,CR-23-684525-A
DRUG,CR-23-684537-A
DRUG,CR-23-684540-A
DRUG,CR-23-684542-A
