Attorney Name,Number of Cases,Guilty,Not Guilty,Dismissed,Other,Success Rate
PATRICK S LAVELLE,9,6,0,8,22,22.22%
THOMAS G KELLEY,1,1,0,0,1,0.00%
ANTHONY C. NICHOLSON,1,0,0,0,8,0.00%
MICHAEL P MALONEY,3,9,2,1,4,18.75%
CHRISTINA  BRUECK,2,1,0,0,11,0.00%
ANTHONY T MALLOY,1,0,0,1,2,33.33%
MADELYN J. GRANT,5,7,0,4,14,16.00%
DANIEL P LANG,1,1,0,0,2,0.00%
BRIAN J SMITH,6,8,0,15,6,51.72%
JOHN A SIVINSKI,5,6,0,13,5,54.17%
MADISON  KARN,1,1,0,0,1,0.00%
CONNOR  MARTENS,1,1,0,0,1,0.00%
WILLIAM E MOONEY,2,2,0,2,6,20.00%
WILLIAM J MOONEY,1,2,0,2,1,40.00%
CHARLES E FEUER,7,8,0,9,14,29.03%
/  PRO SE,9,11,2,4,21,15.79%
WILLIAM D MASON,9,14,0,7,20,17.07%
CATHERINE  PURDUM,6,9,1,10,54,14.86%
MATTHEW E. STERATORE,10,7,1,10,22,27.50%
KATARINA E. JOHNSTON,1,1,0,0,1,0.00%
LARRY W ZUKERMAN,4,2,0,2,22,7.69%
JOHN E. JACKSON,3,5,0,17,4,65.38%
ADAM M VAN HO,2,8,0,13,27,27.08%
STEPHEN  MCGOWAN,2,1,0,3,2,50.00%
"JOHN D. MIZANIN, JR.",6,7,0,4,10,19.05%
MICHAEL J O'SHEA,1,1,0,0,2,0.00%
NEIL W SIEGEL,3,0,0,4,9,30.77%
ERIC C NEMECEK,2,2,0,1,9,8.33%
ANTHONY  BAKER,4,9,3,9,4,48.00%
BRIAN C SALVAGNI,1,0,0,0,6,0.00%
GREGORY A GENTILE,4,2,0,1,8,9.09%
PATRICIA L WINFIELD,2,2,0,3,6,27.27%
MARK E. PORTER,4,4,0,5,4,38.46%
JACOB B. MARGOLIS,41,27,0,27,102,17.31%
LYDIA E SPRAGIN,2,2,0,1,6,11.11%
ROBERT  BOTNICK,13,11,0,9,42,14.52%
AMANDA M HALL-BIZUB,12,16,1,10,22,22.45%
CHARLES A SWANSON,1,1,0,1,1,33.33%
SAM A ZINGALE,1,2,0,0,1,0.00%
JOHN P. BACEVICE,1,1,0,2,1,50.00%
RAYMOND J. COATOAM,2,3,0,0,2,0.00%
JASON  DAVIDOFF,2,6,0,8,2,50.00%
LON'CHERIE'  BILLINGSLEY,1,2,0,1,1,25.00%
NOELLE A POWELL,4,17,12,7,5,46.34%
KIMBERLY  KENDALL CORRAL,5,12,1,9,11,30.30%
ALLEN C. HUFFORD,3,2,0,0,6,0.00%
MORGAN R CARUSO,9,13,0,7,17,18.92%
BRAD S WOLFE,8,11,0,8,20,20.51%
PAUL M FRIEDMAN,1,0,0,1,2,33.33%
SOPHIA ROSE WADE HULEN,1,1,0,0,1,0.00%
EDWARD M HEINDEL,5,7,0,4,6,23.53%
IAN N FRIEDMAN,2,1,0,1,4,16.67%
STEPHANIE  MCNEAL,15,11,0,18,52,22.22%
MICHAEL P DUNHAM,5,6,0,3,7,18.75%
ASHLEY CHRISTINE STEBBINS,2,1,0,19,2,86.36%
MICHAEL L NELSON,5,4,0,3,18,12.00%
MARK A KAISER,1,1,0,1,2,25.00%
JUSTIN  KERR,5,8,0,24,8,60.00%
ASHLEY  KEITH-PHILLIPS,1,0,0,3,1,75.00%
"STANLEY  JACKSON, JR.",2,2,0,8,2,66.67%
CHRIS  MAHER,1,4,0,0,1,0.00%
CHRISTOPHER  PIAZZA,7,7,0,7,16,23.33%
MICHAEL G. POLITO,11,15,0,20,18,37.74%
CARLY L SNAVELY,2,0,0,4,19,17.39%
SAMUEL W BASTA,2,0,0,1,9,10.00%
SUZANNE K HORRIGAN,3,1,0,3,5,33.33%
A DALE  NATICCHIA,1,2,0,0,2,0.00%
LIZA MARIE LANGDON,1,1,0,0,1,0.00%
MATTHEW A. MISHAK,1,2,0,1,1,25.00%
JOCELYN  CONWELL,3,3,0,0,8,0.00%
JOSEPH A DUBYAK,2,2,0,2,6,20.00%
CORY  HINTON,1,0,0,6,2,75.00%
MATTHEW O WILLIAMS,6,7,0,3,9,15.79%
CHRISTINA F LONDRICO,5,5,0,3,16,12.50%
DEXTER W CLARK,3,3,0,3,6,25.00%
JOSEPH A KOCHIS,1,2,0,5,1,62.50%
TOM  LAMPMAN,2,1,0,2,5,25.00%
MARK D MCGRAW,1,0,0,0,4,0.00%
CHARLES RUIZ BUENO,1,2,0,6,1,66.67%
ASHLYN  CARROLL,32,21,0,26,102,17.45%
SOFIA  TEREN,4,4,0,3,5,25.00%
ZEN  CANADAY,26,14,0,10,72,10.42%
ALAN S LEVINE,1,1,0,3,1,60.00%
RICHARD E HACKERD,1,1,0,3,1,60.00%
WILLIAM  LIVINGSTON,2,2,0,2,2,33.33%
ROBERT G WALTON,3,5,0,5,5,33.33%
PATRICK D QUINN,5,6,0,8,12,30.77%
ADAM  BROWN,6,2,0,1,29,3.12%
BRIAN A. MURRAY,1,1,0,0,1,0.00%
LEIF  CHRISTMAN,16,6,0,11,54,15.49%
JOHN S SALEM,1,0,0,5,1,83.33%
JOSEPH F RUSSO,4,6,0,6,7,31.58%
SAMUEL R. SMITH,8,10,0,11,10,35.48%
JAMES E TAVENS,1,3,0,1,2,16.67%
DOUGLAS W MERRILL,2,0,0,0,22,0.00%
DEAN M VALORE,2,7,0,1,3,9.09%
REGIS E MCGANN,3,3,0,4,5,33.33%
JONATHAN N GARVER,2,3,1,2,2,37.50%
JOHN  KOPASAKIS,2,3,0,1,11,6.67%
RUSSELL W TYE,2,5,0,7,3,46.67%
J. REID YODER,1,0,0,0,19,0.00%
THERESE M. WEBB,2,2,0,6,3,54.55%
ROCHELLE M LICATA,1,1,0,0,1,0.00%
MICHAEL J. KINLIN,2,6,0,4,3,30.77%
RICHARD H. BLAKE,1,0,0,2,1,66.67%
JOSEPH  GRANDINETTI,2,5,0,2,2,22.22%
RONALD A ANNOTICO,1,0,0,1,2,33.33%
RONALD E FALCONI,1,1,0,4,2,57.14%
PATRICK M. FARRELL,2,2,0,7,2,63.64%
MICHAEL T JUDY,2,5,0,6,3,42.86%
PATRICK JAMES SENNISH,1,0,0,0,9,0.00%
BRITTANY  ALDRICH,8,1,0,2,35,5.26%
MAXWELL Y. PELTZ,1,0,0,0,14,0.00%
VICTORIA  FERRY,2,6,0,31,3,77.50%
JAMES  ALEXANDER,1,1,0,0,1,0.00%
JOSEPH C PATITUCE,3,0,0,0,31,0.00%
TYLER J. WALCHANOWICZ,3,7,0,1,6,7.14%
ERIC F. LONG,4,2,0,1,10,7.69%
SEAN  DRAKE,1,4,0,0,1,0.00%
MARK R MAJER,9,11,0,7,24,16.67%
RICHARD J PEREZ,1,0,0,3,1,75.00%
JUSTIN C HASKAMP,1,2,0,1,1,25.00%
THOMAS D. CORRIGAN,1,0,0,0,3,0.00%
