case_id,num_files,files
677706,2,out/2023/2023-677706_20251110_124205.json;out/2023/2023-677706_20251116_112539.json
677707,2,out/2023/2023-677707_20251110_170732.json;out/2023/2023-677707_20251116_112606.json
677708,3,out/2023/2023-677708_20251110_170821.json;out/2023/2023-677708_20251110_124207.json;out/2023/2023-677708_20251116_112635.json
677709,3,out/2023/2023-677709_20251110_170821.json;out/2023/2023-677709_20251116_112701.json;out/2023/2023-677709_20251110_124207.json
677710,2,out/2023/2023-677710_20251116_112756.json;out/2023/2023-677710_20251110_170821.json
677711,2,out/2023/2023-677711_20251110_170821.json;out/2023/2023-677711_20251116_112824.json
677712,3,out/2023/2023-677712_20251116_112924.json;out/2023/2023-677712_20251110_170821.json;out/2023/2023-677712_20251116_112858.json
677713,2,out/2023/2023-677713_20251116_112950.json;out/2023/2023-677713_20251110_170821.json
677714,2,out/2023/2023-677714_20251110_170822.json;out/2023/2023-677714_20251116_113020.json
677715,2,out/2023/2023-677715_20251116_113054.json;out/2023/2023-677715_20251110_170822.json
677716,2,out/2023/2023-677716_20251116_113127.json;out/2023/2023-677716_20251110_170846.json
677717,4,out/2023/2023-677717_20251110_124211.json;out/2023/2023-677717_20251110_170846.json;out/2023/2023-677717_20251116_113232.json;out/2023/2023-677717_20251116_113201.json
677718,2,out/2023/2023-677718_20251110_170846.json;out/2023/2023-677718_20251116_113328.json
677719,3,out/2023/2023-677719_20251116_113356.json;out/2023/2023-677719_20251116_113420.json;out/2023/2023-677719_20251110_170847.json
677720,2,out/2023/2023-677720_20251116_113445.json;out/2023/2023-677720_20251110_170847.json
677721,3,out/2023/2023-677721_20251110_124511.json;out/2023/2023-677721_20251110_170847.json;out/2023/2023-677721_20251116_113519.json
677722,3,out/2023/2023-677722_20251110_124511.json;out/2023/2023-677722_20251110_170847.json;out/2023/2023-677722_20251116_113544.json
677723,2,out/2023/2023-677723_20251110_170847.json;out/2023/2023-677723_20251116_113614.json
677724,3,out/2023/2023-677724_20251110_170911.json;out/2023/2023-677724_20251110_124512.json;out/2023/2023-677724_20251116_113716.json
677725,2,out/2023/2023-677725_20251116_113747.json;out/2023/2023-677725_20251110_124513.json
677726,2,out/2023/2023-677726_20251116_113840.json;out/2023/2023-677726_20251114_070356.json
677727,3,out/2023/2023-677727_20251116_113934.json;out/2023/2023-677727_20251116_113907.json;out/2023/2023-677727_20251110_124514.json
677728,3,out/2023/2023-677728_20251114_070358.json;out/2023/2023-677728_20251116_114028.json;out/2023/2023-677728_20251116_114001.json
677729,2,out/2023/2023-677729_20251116_114055.json;out/2023/2023-677729_20251114_070358.json
677730,2,out/2023/2023-677730_20251116_114147.json;out/2023/2023-677730_20251110_124515.json
677731,2,out/2023/2023-677731_20251116_114242.json;out/2023/2023-677731_20251110_124516.json
677732,2,out/2023/2023-677732_20251110_171025.json;out/2023/2023-677732_20251116_114311.json
677733,2,out/2023/2023-677733_20251110_171025.json;out/2023/2023-677733_20251116_114338.json
