Prosecutor Name,Number of Cases,Guilty,Not Guilty,Dismissed,Other,Conviction Rate
KEVIN DAY FOR KENAN MACK,1,1,0,0,1,50.00%
MICHAEL STETCHSCHULTE FOR MARGARET GRAHAM,1,2,0,3,1,33.33%
ELISSA HOPSPON,1,1,0,0,1,50.00%
HALIE TURIGLIATTI FOR BRIAN CALLAHAN,1,1,0,1,1,33.33%
MEGAN HELTON FOR CAROLINE MAVER,1,0,0,1,5,0.00%
DANIEL SHREMBECK,1,2,0,1,1,50.00%
LISA TUROSO,9,14,0,8,35,24.56%
CARLEY BERMAN FOR DANIELLE MUSTER,1,3,0,1,1,60.00%
JOSEPH PAGANO,1,2,0,1,1,50.00%
DIANA NASSAR FOR CARLEY BERMAN,1,1,0,2,1,25.00%
ANDY ROGALSKI FOR JON BLOCK,1,1,0,0,1,50.00%
PATRICK WHITE FOR NATALIE LASZCZ,1,0,0,2,1,0.00%
MARTIN A DIMICHELE,27,40,0,39,47,31.75%
ROCCO VERNIA FOR BRIAN CALLAHAN,1,1,0,1,1,33.33%
HALIE TURIGLIATTI FOR,1,1,0,0,2,33.33%
MARCO TANUDRA FOR KRYSTAL LEE,1,1,0,2,1,25.00%
DOMINIC NEVILLE FOR MORGAN AUSTIN,2,5,0,4,2,45.45%
NICHOLAS FINK,31,49,0,37,53,35.25%
JEFFREY S,9,19,1,36,13,27.54%
MAGGIE GRAHAM FOR BRAD MEYER,1,1,0,4,1,16.67%
ANDREW ROGALSKI,1,0,0,3,1,0.00%
MEGAN HELTON AND ANNA FARAGLIA,1,1,0,1,1,33.33%
MARGARET GRAHAM FOR CARLA NEUHAUSER,2,0,0,0,7,0.00%
BENJAMIN FUCHS FOR DIANA G,1,1,0,0,2,33.33%
MAALAEA NEWELL FOR LUKE HABERMEHL,1,3,0,0,1,75.00%
EAMONN MCDERMOTT FOR BRITTANY FLETCHER,1,0,0,2,2,0.00%
CEDRIC WARE FOR FALLON MCNALLY,1,1,0,0,1,50.00%
LUCAS KIRKLAND,48,69,0,73,71,32.39%
SASHA BROOKS AND THOMAS ROVITO,1,1,0,7,1,11.11%
MALLORY BUELOW FOR MARCO TANUDRA,1,1,0,1,1,33.33%
JONATHON BLOCK,1,1,0,0,1,50.00%
DANIELLE V MUSTER FOR JONATHAN BLOCK,1,1,0,0,1,50.00%
ANDY ROGALSKI,1,1,0,2,1,25.00%
JOHN KIRKLAND,3,3,0,9,6,16.67%
GRANT MORGAN,42,38,0,53,97,20.21%
MICHAEL TIMMS FOR MICHAEL MARTINEZ,1,2,0,1,2,40.00%
BRITITANY STIPICH,1,1,0,1,2,25.00%
JACOB WILLIAMS FOR JASMINE JACKSON,1,1,0,0,1,50.00%
ELISSA L,27,26,0,36,70,19.70%
CONNOR DAVIN FOR HALIE TURIGLIATTI,1,1,0,3,1,20.00%
BEN FUCHS FOR LUKE HABERMEHL,1,1,0,0,1,50.00%
HYOJONG LEE FOR CARLEY BERMAN,1,1,0,0,3,25.00%
BRITTANY FLETCHER FOR EAMONN MCDERMOTT,1,1,0,1,1,33.33%
JEFFREY M MAVER,1,0,0,0,14,0.00%
LUKE HABERMEHL FOR BENJAMIN FUCHS,1,1,0,1,1,33.33%
CONNER DAVIN FOR BRIAN CALLAHAN,1,1,0,0,1,50.00%
BEN FUCHS FOR MELISSA RILEY,1,6,0,4,1,54.55%
JAMES D,1,3,0,4,2,33.33%
MIKE TIMMS FOR JASMINE JACKSON,1,2,0,1,1,50.00%
MCDERMOTT,1,1,0,0,2,33.33%
PATRICK WHITE AND DAN CLEARY,1,2,0,0,1,66.67%
DIANA NASSAR FOR LUKE HABERMEHL,1,0,0,3,1,0.00%
BOYKO FOR GABE RASTATTER,1,2,0,2,1,40.00%
KYRIELLE WILLIAMS,42,38,3,49,98,20.21%
PAT LAVELLE,1,1,0,2,1,25.00%
ANDY NICHOL,2,1,0,1,2,25.00%
JON BLOCK FOR MARY ANN ZAKY,1,1,0,0,1,50.00%
DANIEL CLEARY AND ELLE ENGLISH,1,6,0,0,3,66.67%
ELLE MARIE ENGLISH,1,2,0,2,1,40.00%
MARY ANN ZAKY FOR ALEXANDRIA SERDARU,1,2,0,2,2,33.33%
ZACHARY LAFLEUR,40,37,0,42,116,18.97%
BRITTANY STIPICH FOR MICHAEL J STECHSCHULTE,1,1,0,0,2,33.33%
JONATHAN BLOCK FOR KRYSTAL LEE,1,1,0,1,1,33.33%
ANDREW BOYKO FOR BRITTANY FLETCHER,1,1,0,3,2,16.67%
CHRISTOPHER WOODWORTH FOR MALLORY BUELOW,1,2,0,1,1,50.00%
LUKE HABERMEHL FOR DANIELLE MUSTER,1,2,0,2,1,40.00%
ZAKY FOR SAMMON,1,1,0,1,1,33.33%
DANIEL SCHREMBECK FOR JORDAN MASON,1,2,0,1,1,50.00%
MAKENNA DAUS FOR MARGARET GRAHAM,1,1,0,0,2,33.33%
HABERMEHL,1,2,0,0,1,66.67%
EAMONN MCDERMOTT AND MAGGIE GRAHAM,1,2,0,1,1,50.00%
MARCO TANUDRA FOR DANIELLE V MUSTER,1,1,0,1,1,33.33%
DAKDOUK,1,4,0,2,1,57.14%
MEKENNA DAUS,1,1,0,2,3,16.67%
TIMOTHY TROUP FOR ADRIENNE E,1,1,0,4,1,16.67%
BRANDON PITEO FOR DANIELLE V,1,1,0,0,2,33.33%
MICHAEL STECHSCHULTE FOR CARLEY BERMAN,1,2,0,3,1,33.33%
KERRY SOWUL AND JASMINE JACKSON,1,1,0,4,1,16.67%
EAMONN MCDERMOTT FOR MICHAEL J STECHSCHULTE,1,0,0,9,1,0.00%
BRITTANY STIPICH FOR MICHAEL STECHSHULTE,1,1,0,0,1,50.00%
ABE DAKDOUK,7,6,0,6,17,20.69%
CHARLES JOYCE,14,12,0,14,26,23.08%
SAMMON,3,7,0,5,3,46.67%
JOSEPH LUCCHESI FOR HANNAH BAKER,4,5,0,3,9,29.41%
TIMOTHY TROUP FOR BEN FUCHS,1,0,0,3,1,0.00%
THOMAS ROVITO FOR DANIELLE MUSTER,1,2,0,0,1,66.67%
ANDREW SZCZEPANIK,20,15,0,10,101,11.90%
CAROLINE MAVER FOR MEGAN HELTON,1,1,0,2,1,25.00%
ANDREW BOYKO AND BRAD MEYER,1,0,0,0,28,0.00%
CONNOR DAVIN AND MCKENNA DAUS,1,3,0,1,2,50.00%
ALEX VENEZIA FOR ERICA SAMMON,1,2,0,5,1,25.00%
DAVID MEREDITH,31,24,0,29,87,17.14%
DOMINIC NEVILLE FOR COURTNEY KIRVEN,3,7,0,5,4,43.75%
DAN SCHREMBECK FOR B,2,3,0,2,2,42.86%
DANIELLE MUSTER OBO KERRY SOWUL,1,1,0,0,1,50.00%
ELEANOR K WERNER,3,3,0,4,6,23.08%
MARYANN ZAKY FOR COURTNEY KIRVEN,1,1,0,0,1,50.00%
HALIE TURRIGLIATI,1,2,0,0,3,40.00%
PAT LIPAJ,8,1,0,6,44,1.96%
MARTIN DIMICHELLE,1,3,0,0,2,60.00%
JOHN DOWLING FOR JONATHAN J BLOCK,1,0,0,8,1,0.00%
NICHOLAS FINK FOR JOHN DOWLING,2,2,0,1,2,40.00%
